link.id,resource,resource.lifestage,consumer,consumer.lifestage,link.evidence,full.source,res.genus,res.subfamily,res.family,res.order,res.class,res.category,con.genus,con.subfamily,con.family,con.order,con.class,con.category
15,Miridae,NA,Tetragnatha,NA,observed,"Lesar, C., and Unzi , D. 1978.  Life History, Habits, and Prey Preferences of Tetragnatha laboriosa (Araneae: Tetragnathidae,  Environmental entomology, 7,  879 - 884",NA,NA,Miridae,Hemiptera,Insecta,herbivore/predator,Tetragnatha,NA,Tetragnathidae,Araneae,Arachnida,predator
16,Drosophilidae ,NA,Tetragnatha,NA,observed,"Lesar, C., and Unzi , D. 1978.  Life History, Habits, and Prey Preferences of Tetragnatha laboriosa (Araneae: Tetragnathidae,  Environmental entomology, 7,  879 - 884",NA,NA,Drosophilidae,Diptera,Insecta,fructivore,Tetragnatha,NA,Tetragnathidae,Araneae,Arachnida,predator
17,Culicidae,adults,Tetragnatha (j),adults/juvenile,observed,"Solis Rojas (personal observations )  as cited in Quiroz-Martinez, H , Rodriguez-Castro, A , Quiroz, 207.   Aquatic insects as predators of mosquito larvae,  Journal of the American Mosquito Control Association, 23,  110 - 117",NA,NA,Culicidae,Diptera,Insecta,nectivore/haematophyte,Tetragnatha,NA,Tetragnathidae,Araneae,Arachnida,predator
18,Rhopalosiphum maidis,NA,Tetragnatha,NA,observed,"Proverncher, L and Corderre, D. L. 1987.  Functional Responses and Switching of Tetragnatha laboriosa Hentz (Araneae: Tetragnathidae)and Clubiona pikei Gertsh (Araneae: Clubionidae) for the Aphids Rhopalosiphum maidis (Fitch) and Rhopalosiphum padi (L.) (Homoptera: Aphididae)Environmental entomology, 16, 1305 - 1309.",Rhopalosiphum,,Aphididae,Hemiptera,Insecta,herbivore,Tetragnatha,NA,Tetragnathidae,Araneae,Arachnida,predator
19,Rhopalosiphum padi,NA,Teyragnatha,NA,observed,"Proverncher, L and Corderre, D. L. 1987.  Functional Responses and Switching of Tetragnatha laboriosa Hentz (Araneae: Tetragnathidae)and Clubiona pikei Gertsh (Araneae: Clubionidae) for the Aphids Rhopalosiphum maidis (Fitch) and Rhopalosiphum padi (L.) (Homoptera: Aphididae)Environmental entomology, 16, 1305 - 1309.",Rhopalosiphum,,Aphididae,Hemiptera,Insecta,herbivore,Tetragnatha,NA,Tetragnathidae,Araneae,Arachnida,predator
20,Stenotus rubrovittatus,NA,Pachygnatha clercki,NA,observed - gut/stomach analysis,"Kobayashia,T. Takadab, M.,  Takagic, S,  Yoshiokac, A., and Washitani, I. 2011. Spider predation on a mirid pest in Japanese rice fields. Basic and Applied Ecology 12 (2011) 532–539.",Stenotus,NA,Miridae,Hemiptera,Insecta,herbivore,Pachygnatha,NA,Tetragnathidae,Araneae,Arachnida,predator
21,Rhopalosiphum padi,NA,Pachygnatha,NA,observed,"Madsen, M. Terkildsen S., and Toft, S. 2004.  Microcosm studies on control of aphids by generalist arthropod predators: Effects of alternative prey. BioControl 49: 483–504, 2004.",Rhopalosiphum,NA,Aphididae,Hemiptera,Insecta,herbivore,Pachygnatha,NA,Tetragnathidae,Araneae,Arachnida,predator
22,Drosophila melanogaster,NA,Pachygnatha,NA,observed,"Madsen, M. Terkildsen S., and Toft, S. 2004.  Microcosm studies on control of aphids by generalist arthropod predators: Effects of alternative prey. BioControl 49: 483–504, 2004.",Drosophila ,NA,Drosophilidae,Diptera,Insecta,fructivore,Pachygnatha,NA,Tetragnathidae,Araneae,Arachnida,predator
23,Sitobion avenae,NA,Pachygnatha,NA,observed - gut/stomach analysis,"von Berg, K  Traugott, M. and  Scheu, S. 2012. Scavenging and active predation in generalist predators: A mesocosm study employing DNA-based gut analysis.  Pedobiologia 55 (2012) 1– 5",Sitobion,NA,Aphididae,Hemiptera,Insecta,herbivore,Pachygnatha,NA,Tetragnathidae,Araneae,Arachnida,predator
24,Ixodes ricinus,nymph,Pachygnatha,NA,inferred - stable isotope analysis,"Vinogradov, D. , Smagin, A.,  Belova, O., Surikov, S., Karganova, G., and  Tiunov, A. 2024. Identification of soil-dwelling predators of tick nymphs (Acari: Ixodidae) by stable isotope labeling, Journal of Medical Entomology, 61(2), 2024, 512–516",Ixodes,NA, Ixodidae,Ixodida,Arachnida,heamatophyte,Pachygnatha,NA,Tetragnathidae,Araneae,Arachnida,predator
25,,,Heliophanus flavipes,adults/juvenile,,,,,,,,,Heliophanus ,NA,Salticidae,Araneae,Arachnida,
26,,,Heliophanus cupreus,,,,,,,,,,Heliophanus ,NA,Salticidae,Araneae,Arachnida,
27,Chrysopidae,NA,Helophanus,NA,observed,"Mezofi L,Marko G,Nagy C,Koranyi D, and Marko V.2020.Beyond polyphagy and opportunism: natural prey of hunting spiders in the canopy of appl etrees.Peer J8: e9334DOI10.7717/peerj.9334",NA,NA,Chrysopidae,Neuroptera,Insecta,nectivore/ predator,Heliophanus ,NA,Salticidae,Araneae,Arachnida,predator
28,Drosophila,NA,Heliophanus,NA,observed,"Michalek, O., Pekar, S. and  Haddad, C. 2021. Fundamental trophic niche of two prey-specialized jumping spiders, Cyrba algerina and Heliophanus termitophagus (Araneae: Salticidae).  The Journal of Arachnology , 2021, Vol. 49, No. 2 (2021), pp. 268-271.",Drosophila,NA,Drosophilidae,Diptera,Insecta,fructivore,Helophanua,NA,Salticidae,Araneae,Arachnida,predator
29,Sinella curviseta,NA,Heliophanus ,NA,observed,"Michalek, O., Pekar, S. and  Haddad, C. 2021. Fundamental trophic niche of two prey-specialized jumping spiders, Cyrba algerina and Heliophanus termitophagus (Araneae: Salticidae).  The Journal of Arachnology , 2021, Vol. 49, No. 2 (2021), pp. 268-271.",Sinella,NA,Entomobryidae,Colembolla,Insecta,detritivore,Heliophanus ,NA,Salticidae,Araneae,Arachnida,predator
30,Tipulidae,NA,Heliophanus,NA,inferred-stable isotope analysis,"Sanders, D, Vogel, E. and Knop, E. 2014.  Individual and species-specific traits explain niche size and functional role in spiders as generalist predators.Journal of Animal Ecology 2015, 84, 134–142 doi: 10.1111/1365-2656.12271",NA,NA,Tipulidae,Diptera,Insecta,detritivore/fungivore,Heliophanus ,NA,Salticidae,Araneae,Arachnida,predator
31,Collembola,NA,Heliophanus,NA,inferred-stable isotope analysis,"Sanders, D, Vogel, E. and Knop, E. 2014.  Individual and species-specific traits explain niche size and functional role in spiders as generalist predators.Journal of Animal Ecology 2015, 84, 134–142 doi: 10.1111/1365-2656.12271",NA,NA,NA,Colembolla,Insecta,detritivore,Heliophanus ,NA,Salticidae,Araneae,Arachnida,predator
32,Diptera,NA,Heliophanus,NA,inferred-stable isotope analysis,"Sanders, D, Vogel, E. and Knop, E. 2014.  Individual and species-specific traits explain niche size and functional role in spiders as generalist predators.Journal of Animal Ecology 2015, 84, 134–142 doi: 10.1111/1365-2656.12271",NA,NA,NA,Diptera,Insecta,herbivore/ scavenger/ detritivore/  predator/  parasite,Heliophanus ,NA,Salticidae,Araneae,Arachnida,predator
33,Coleoptera,NA,Tetragnathidae,NA,observed,"Jmhasly, P . Nentwig , W. 1995.  Habitiat management in winter wheat and evaluation of susequent spider predation on insect pests, Acta Oecologica, 16, 3,  389 - 403",NA,NA,NA,Coleoptera,Insecta,fungivore/ herbivor/detritivore/ predator,NA,NA,Tetragnathidae,Araneae,Arachnida,predator
34,Cicadina,NA,Tetragnathidae,NA,observed,"Jmhasly, P . Nentwig , W. 1995.  Habitiat management in winter wheat and evaluation of susequent spider predation on insect pests, Acta Oecologica, 16, 3,  389 - 403",NA,Cicadinae,Cicadidae,Hemiptera,Insecta,herbivore,NA,NA,Tetragnathidae,Araneae,Arachnida,predator
35,Thysanoptera,NA,Tetragnathidae,NA,observed,"Jmhasly, P . Nentwig , W. 1995.  Habitiat management in winter wheat and evaluation of susequent spider predation on insect pests, Acta Oecologica, 16, 3,  389 - 403",NA,NA,NA,Thysanoptera,Insecta,herbivore/ scavenger/ detritivore/  predator/  parasite,NA,NA,Tetragnathidae,Araneae,Arachnida,predator
36,Diptera,NA,Tetragnathidae,NA,observed,"Jmhasly, P . Nentwig , W. 1995.  Habitiat management in winter wheat and evaluation of susequent spider predation on insect pests, Acta Oecologica, 16, 3,  389 - 403",NA,NA,NA,Diptera,Insecta,herbivore/ scavenger/ detritivore/  predator/  parasite,NA,NA,Tetragnathidae,Araneae,Arachnida,predator
37,Chironomidae,NA,Tetragnathidae,NA,observed,"Jmhasly, P . Nentwig , W. 1995.  Habitiat management in winter wheat and evaluation of susequent spider predation on insect pests, Acta Oecologica, 16, 3,  389 - 403",NA,NA,Chironomidae,Diptera,Insecta,herbivore/ detritivore/predator,NA,NA,Tetragnathidae,Araneae,Arachnida,predator
38,Cecidomyiidae,NA,Tetragnathidae,NA,observed,"Jmhasly, P . Nentwig , W. 1995.  Habitiat management in winter wheat and evaluation of susequent spider predation on insect pests, Acta Oecologica, 16, 3,  389 - 403",NA,NA,Cecidomyiidae,Diptera,Insecta,fungivore/parasitoid/predator,NA,NA,Tetragnathidae,Araneae,Arachnida,predator
39,Sciaridae,,Tetragnathidae,,observed,"Jmhasly, P . Nentwig , W. 1995.  Habitiat management in winter wheat and evaluation of susequent spider predation on insect pests, Acta Oecologica, 16, 3,  389 - 403",NA,NA,Sciaridae,Diptera,Insecta,fungivore,NA,NA,Tetragnathidae,Araneae,Arachnida,predator
40,Rhopalosiphum padi,,Tetragnathidae,,observed,"Jmhasly, P . Nentwig , W. 1995.  Habitiat management in winter wheat and evaluation of susequent spider predation on insect pests, Acta Oecologica, 16, 3,  389 - 403",Rhopalosiphum,,Aphididae,Hemiptera,Insecta,herbivore,NA,NA,Tetragnathidae,Araneae,Arachnida,predator
41,Sitobion avenae,,Tetragnathidae,,observed,"Jmhasly, P . Nentwig , W. 1995.  Habitiat management in winter wheat and evaluation of susequent spider predation on insect pests, Acta Oecologica, 16, 3,  389 - 403",Sitobion,NA,Aphididae,Hemiptera,Insecta,herbivore,NA,NA,Tetragnathidae,Araneae,Arachnida,predator
42,Metopolophium  dirhodum ,,Tetragnathidae,,observed,"Jmhasly, P . Nentwig , W. 1995.  Habitiat management in winter wheat and evaluation of susequent spider predation on insect pests, Acta Oecologica, 16, 3,  389 - 403",Metopolophium,NA,Aphididae,Hemiptera,Insecta,herbivore,NA,NA,Tetragnathidae,Araneae,Arachnida,predator
43,Geocoris punctipes,,Salticidae,,,"Roach, S. 1987. Observations on Feeding and Prey Selection by Phidippus audax (Hentz) (Araneae: Salticidae).  Environmental entomology, 16,  1098 - 1102",Geocoris,Geocorinae,Geocoridae,Hemiptera,Insecta,predator,NA,NA,Salticidae,Araneae,Arachnida,predator
44,Myrmeleotettix maculatus,,Xysticus cristatus,,,"Cherrill, A. and Begon M. 1989. Predation on grasshoppers by spiders in sand dune grasslands,  Entomologia experimentalis et applicata, 50, 225 - 231.",Myrmeleotettix ,NA,Acrididae,Orthoptera,Insecta,herbivore,Xysticus,NA,Thomisidae,Araneae,Arachnida,predator
45,Chorthippus brunneus,,Xysticus cristatus,,,"Cherrill, A. and Begon M. 1989. Predation on grasshoppers by spiders in sand dune grasslands,  Entomologia experimentalis et applicata, 50, 225 - 231.",Chorthippus,NA,Acrididae,Orthoptera,Insecta,herbivore,Xysticus,NA,Thomisidae,Araneae,Arachnida,predator
46,Sitobion avenae,juveniles,Xysticus cristatus,,observed - gut/stomach analysis," Birkhofer , K.  Gavish-Regev, E.,  Endlweber, K., Lubin, Y.  von Berg, K.,  Wise, D. and Scheu, S. (2008) Cursorial spiders retard initial aphid population growth at low densities in winter wheat.Bulletin of Entomological Research 98, 249–255. doi:10.1017/S0007485308006019",Sitobion,NA,Aphididae,Hemiptera,Insecta,herbivore,Xysticus,NA,Thomisidae,Araneae,Arachnida,predator
47,,,Xysticus sabulosus,,,,,,,,,,Xysticus,NA,Thomisidae,Araneae,Arachnida,predator
48,Araneae,,Xysticus,,observed ,"Nyffeler, M . Breene, R. 1990.  Spiders associated with selected European hay meadows, and the effects of habitat disturbance,Journal of applied entomology, 110,  149 - 159",NA,NA,NA,Araneae,Arachnida,predator,Xysticus,NA,Thomisidae,Araneae,Arachnida,predator
49,Heteroptera,,Xysticus,,observed ,"Nyffeler, M . Breene, R. 1990.  Spiders associated with selected European hay meadows, and the effects of habitat disturbance,Journal of applied entomology, 110,  149 - 159",NA,NA,NA,Hemiptera,Insecta,herbivore/nectivore,Xysticus,NA,Thomisidae,Araneae,Arachnida,predator
50,Lepidoptera,,Xysticus,,observed ,"Nyffeler, M . Breene, R. 1990.  Spiders associated with selected European hay meadows, and the effects of habitat disturbance,Journal of applied entomology, 110,  149 - 159",NA,NA,NA,Lepidoptera,Insecta,herbivore/nectivore,Xysticus,NA,Thomisidae,Araneae,Arachnida,predator
51,Thysanoptera,,Xysticus,,observed ,"Nyffeler, M . Breene, R. 1990.  Spiders associated with selected European hay meadows, and the effects of habitat disturbance,Journal of applied entomology, 110,  149 - 159",NA,NA,NA,Thysanoptera,Insecta,herbivore,Xysticus,NA,Thomisidae,Araneae,Arachnida,predator
52,Coleoptera,,Xysticus,,observed ,"Nyffeler, M . Breene, R. 1990.  Spiders associated with selected European hay meadows, and the effects of habitat disturbance,Journal of applied entomology, 110,  149 - 159",NA,NA,NA,Coleoptera,Insecta,fungivore/ herbivor/detritivore/ predator,Xysticus,NA,Thomisidae,Araneae,Arachnida,predator
53,Carabidae,,Xysticus,,observed ,"Nyffeler, M . Breene, R. 1990.  Spiders associated with selected European hay meadows, and the effects of habitat disturbance,Journal of applied entomology, 110,  149 - 159",NA,NA,Carabidae,Coleoptera,Insecta,predator/herbivore/omnivore,Xysticus,NA,Thomisidae,Araneae,Arachnida,predator
54,Pardosa,,Xysticus,,observed ,"Nyffeler, M . Breene, R. 1990.  Spiders associated with selected European hay meadows, and the effects of habitat disturbance,Journal of applied entomology, 110,  149 - 159",Pardosa,NA,Lycosidae,Araneae,Arachnida,predator,Xysticus,NA,Thomisidae,Araneae,Arachnida,predator
55,Orchesella villosa,,Xysticus,,observed ,"Nyffeler, M . Breene, R. 1990.  Spiders associated with selected European hay meadows, and the effects of habitat disturbance,Journal of applied entomology, 110,  149 - 159",Orchesella,NA,Entomobryidae,Collembola,NA,detritivore,Xysticus,NA,Thomisidae,Araneae,Arachnida,predator
56,Aphididea,,Xysticus,,observed ,"Nyffeler, M . Breene, R. 1990.  Spiders associated with selected European hay meadows, and the effects of habitat disturbance,Journal of applied entomology, 110,  149 - 159",NA,NA,Aphididea,Hemiptera,Insecta,herbivore,Xysticus,NA,Thomisidae,Araneae,Arachnida,predator
57,Lumbricidae,,Xysticus,,observed ,"Nyffeler, M . Breene, R. 1990.  Spiders associated with selected European hay meadows, and the effects of habitat disturbance,Journal of applied entomology, 110,  149 - 159",NA,NA,Lumbricidae,Opisthopora,Clitellata,detritivore,Xysticus,NA,Thomisidae,Araneae,Arachnida,predator
58,Diptera,,Xysticus,,observed ,"Nyffeler, M . Breene, R. 1990.  Spiders associated with selected European hay meadows, and the effects of habitat disturbance,Journal of applied entomology, 110,  149 - 159",NA,NA,NA,Diptera,Insecta,herbivore/ scavenger/ detritivore/  predator/  parasite,Xysticus,NA,Thomisidae,Araneae,Arachnida,predator
59,Hymenoptera,,Xysticus ,,observed ,"Nyffeler, M . Breene, R. 1990.  Spiders associated with selected European hay meadows, and the effects of habitat disturbance,Journal of applied entomology, 110,  149 - 159",NA,NA,NA,Hymenoptera,Insecta,"nectivore, predator, herbivore, parasitoid, hyperparasitoid",Xysticus,NA,Thomisidae,Araneae,Arachnida,predator
60,Drosophilia melanogaster,,Xysticus,,observed ,"Perez-Guerrero, S.,  Gelan-Begna, A.,  Tamajon, R., and Vargas-Osuna, E. (2013) Potential predation of non-webbuilding spider assemblage on cotton pests Helicoverpa armigera and Spodoptera littoralis (Lepidoptera: Noctuidae), Biocontrol Science and Technology, 23:3, 335-347, DOI:10.1080/09583157.2012.758237",Drosophilia,Drosophilinae,Drosophilidae,Diptera,Insecta,fructivore,Xysticus,NA,Thomisidae,Araneae,Arachnida,predator
61,Opilio ,,Xysticus,,observed ,"Guseinov, E. 2006. The prey of   Xysticus  Loeffleri a lithophilous crab spider, (Aranear , Thomisidae).  The  Journal  of  Arachnology  34:37-45.",Opilio,Opilioninae,Phalangiidae,Opiliones,Arachnida,"omnivore, scavenger",Xysticus,NA,Thomisidae,Araneae,Arachnida,predator
62,Ichneumonidae,,Xysticus,,observed ,"Guseinov, E. 2006. The prey of   Xysticus  Loeffleri a lithophilous crab spider, (Aranear , Thomisidae).  The  Journal  of  Arachnology  34:37-45.",NA,NA,Ichneumonidae,Hymenoptera,Insecta,parasitoid,Xysticus,NA,Thomisidae,Araneae,Arachnida,predator
63,Pyrrhocoridae,,Xysticus,,observed ,"Guseinov, E. 2006. The prey of   Xysticus  Loeffleri a lithophilous crab spider, (Aranear , Thomisidae).  The  Journal  of  Arachnology  34:37-45.",NA,NA,Pyrrhocoridae,Hemiptera,Insecta,herbivore,Xysticus,NA,Thomisidae,Araneae,Arachnida,predator
64,Machilidae,,Xysticus,,observed ,"Guseinov, E. 2006. The prey of   Xysticus  Loeffleri a lithophilous crab spider, (Aranear , Thomisidae).  The  Journal  of  Arachnology  34:37-45.",NA,NA,Machilidae,Archaeognatha,Insecta,herbivore/scavenger,Xysticus,NA,Thomisidae,Araneae,Arachnida,predator
65,Lepismatidae,,Xysticus,,observed ,"Guseinov, E. 2006. The prey of   Xysticus  Loeffleri a lithophilous crab spider, (Aranear , Thomisidae).  The  Journal  of  Arachnology  34:37-45.",NA,NA,Lepismatidae,Collembola,NA,detritivore,Xysticus,NA,Thomisidae,Araneae,Arachnida,predator
66,Sminthuridae,,Xysticus,,observed ,"Guseinov, E. 2006. The prey of   Xysticus  Loeffleri a lithophilous crab spider, (Aranear , Thomisidae).  The  Journal  of  Arachnology  34:37-45.",NA,NA,Sminthuridae,Collembola,NA,detritivore,Xysticus,NA,Thomisidae,Araneae,Arachnida,predator
67,Haploembia solieri,,Xysticus,,observed ,"Guseinov, E. 2006. The prey of   Xysticus  Loeffleri a lithophilous crab spider, (Aranear , Thomisidae).  The  Journal  of  Arachnology  34:37-45.",Haploembia,NA,Oligotomidae,Embioptera,Insecta,herbivore,Xysticus,NA,Thomisidae,Araneae,Arachnida,predator
68,Aphididae,,Xysticus,,observed ,"Guseinov, E. 2006. The prey of   Xysticus  Loeffleri a lithophilous crab spider, (Aranear , Thomisidae).  The  Journal  of  Arachnology  34:37-45.",NA,NA,Aphididae,Hemiptera,Insecta,herbivore,Xysticus,NA,Thomisidae,Araneae,Arachnida,predator
69,Lygaeidae,,Xysticus,,observed ,"Guseinov, E. 2006. The prey of   Xysticus  Loeffleri a lithophilous crab spider, (Aranear , Thomisidae).  The  Journal  of  Arachnology  34:37-45.",NA,NA,Lycosidae,Hemiptera,Insecta,herbivore/omnivore/predator,Xysticus,NA,Thomisidae,Araneae,Arachnida,predator
70,Nabidae  ,,Xysticus,,observed ,"Guseinov, E. 2006. The prey of   Xysticus  Loeffleri a lithophilous crab spider, (Aranear , Thomisidae).  The  Journal  of  Arachnology  34:37-45.",NA,NA,Nabidae,Hemiptera,Insecta,herbivore,Xysticus,NA,Thomisidae,Araneae,Arachnida,predator
71,Noctuidae,larvae,Xysticus,,observed ,"Guseinov, E. 2006. The prey of   Xysticus  Loeffleri a lithophilous crab spider, (Aranear , Thomisidae).  The  Journal  of  Arachnology  34:37-45.",NA,NA,Noctuidae,Lepidoptera,Insecta,herbivore/nectivore,Xysticus,NA,Thomisidae,Araneae,Arachnida,predator
72,Psocoptera,,Xysticus,,observed ,"Guseinov, E. 2006. The prey of   Xysticus  Loeffleri a lithophilous crab spider, (Aranear , Thomisidae).  The  Journal  of  Arachnology  34:37-45.",NA,NA,NA,Psocoptera,Insecta,fungivore,Xysticus,NA,Thomisidae,Araneae,Arachnida,predator
73,Formicidae,,Xysticus,,observed ,"Guseinov, E. 2006. The prey of   Xysticus  Loeffleri a lithophilous crab spider, (Aranear , Thomisidae).  The  Journal  of  Arachnology  34:37-45.",NA,NA,Formicidae,Hymenoptera,Insecta,scavenger/predator,Xysticus,NA,Thomisidae,Araneae,Arachnida,predator
74,Carabidae,adults/larvae,Xysticus,,observed ,"Guseinov, E. 2006. The prey of   Xysticus  Loeffleri a lithophilous crab spider, (Aranear , Thomisidae).  The  Journal  of  Arachnology  34:37-45.",NA,NA,Carabidae,Coleoptera,Insecta,predator/herbivore/omnivore,Xysticus,NA,Thomisidae,Araneae,Arachnida,predator
75,Curculionidae,,Xysticus,,observed ,"Guseinov, E. 2006. The prey of   Xysticus  Loeffleri a lithophilous crab spider, (Aranear , Thomisidae).  The  Journal  of  Arachnology  34:37-45.",NA,NA,Curculionidae,Coleoptera,Insecta,herbivore,Xysticus,NA,Thomisidae,Araneae,Arachnida,predator
76,Xysticus,,Xysticus,,observed ,"Guseinov, E. 2006. The prey of   Xysticus  Loeffleri a lithophilous crab spider, (Aranear , Thomisidae).  The  Journal  of  Arachnology  34:37-45.",Xysticus,NA,Thomisidae,Araneae,Arachnida,predator,Xysticus,NA,Thomisidae,Araneae,Arachnida,predator
77,Oecobiidae,,Xysticus,,observed ,"Guseinov, E. 2006. The prey of   Xysticus  Loeffleri a lithophilous crab spider, (Aranear , Thomisidae).  The  Journal  of  Arachnology  34:37-45.",NA,NA,Oecobiidae,Araneae,Arachnida,predator,Xysticus,NA,Thomisidae,Araneae,Arachnida,predator
